"","partic","session","token","group","duration","i_min","i_max","ri","ri_2","max_rising_velocity","wmrv","newest","x","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","session_token","group_name"
"1",1,1,13,2,0.009989001862,61.88846566,77.77681692,15.88835126,0.2567255642,919.3043545,"11.81977344","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_13","Experimental"
"2",1,1,16,2,0.01573632207,59.38376872,67.50580354,8.122034819,0.1367719664,293.196599,"4.34327989","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_16","Experimental"
"3",1,1,23,2,0.01793274549,55.88479567,66.94805568,11.06326002,0.1979654731,755.0379976,"11.27796752","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_23","Experimental"
"4",1,1,32,2,0.01301920835,66.05757104,75.50823583,9.450664792,0.143067095,209.8373093,"2.778998966","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_32","Experimental"
"5",1,1,37,2,0.01712448954,59.94862211,71.97089449,12.02227238,0.200542931,660.6553693,"9.17947976","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_37","Experimental"
"6",1,1,38,2,0.02952636771,53.75482556,77.5133425,23.75851694,0.4419792398,1056.46915,"13.62951352","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_38","Experimental"
"7",1,1,43,2,0.01365324514,65.61115494,75.22856896,9.617414022,0.1465819956,583.9776197,"7.762710733","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_43","Experimental"
"8",1,1,44,2,0.01901915429,55.83988703,78.00427339,22.16438636,0.3969274929,838.7176547,"10.75220136","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_44","Experimental"
"9",1,5,12,2,0.02563337274,39.87997877,53.42961144,13.54963268,0.3397602781,615.1363313,"11.51302274","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_12","Experimental"
"10",1,5,21,2,0.02301161981,44.06070745,73.29038971,29.22968226,0.6633956637,1108.715864,"15.12771141","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_21","Experimental"
"11",1,5,22,2,0.01883546079,49.67095918,66.2355243,16.56456513,0.3334859121,898.6761762,"13.56788801","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_22","Experimental"
"12",1,5,23,2,0.01590550022,66.72751803,75.91559751,9.188079476,0.1376955077,547.3099367,"7.209453059","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_23","Experimental"
"13",1,5,25,2,0.0120688152,64.41316005,78.97428304,14.56112299,0.2260581995,572.8532048,"7.253667684","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_25","Experimental"
"14",1,5,29,2,0.04330554783,28.69357411,55.96642126,27.27284715,0.9504862326,1123.652513,"20.07726219","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_29","Experimental"
"15",1,5,30,2,0.01269529509,63.72076993,68.75170349,5.030933559,0.07895280557,292.2247806,"4.250436946","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_30","Experimental"
"16",1,5,33,2,0.009875703332,74.8759068,79.76062735,4.884720551,0.06523754783,322.8335787,"4.047530585","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_33","Experimental"
"17",1,5,41,2,0.03870904537,46.13727063,72.50644702,26.36917639,0.5715374149,1406.519921,"19.39854976","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_41","Experimental"
"18",1,5,44,2,0.01177280777,71.2437516,74.81665494,3.572903337,0.05015040978,365.3364319,"4.883089631","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_44","Experimental"
"19",1,6,3,2,0.01820311404,68.32592046,76.25859237,7.932671912,0.1161004763,223.7197721,"2.933699209","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_3","Experimental"
"20",1,6,11,2,0.01967571803,65.86762232,75.02082944,9.153207122,0.138963679,277.0150194,"3.692508087","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_11","Experimental"
"21",1,6,27,2,0.01788769937,68.18801645,77.15120502,8.963188579,0.1314481495,394.6298304,"5.115018362","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_27","Experimental"
"22",1,6,36,2,0.03426808496,63.36347632,77.2474408,13.88396448,0.2191162052,435.4196255,"5.636686743","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_36","Experimental"
"23",1,6,37,2,0.03791860542,70.73866269,80.14435439,9.405691704,0.1329639457,142.1840581,"1.774099488","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_37","Experimental"
"24",1,6,42,2,0.05364025998,52.0089094,72.77022051,20.76131111,0.3991875883,779.7173381,"10.71478598","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_42","Experimental"
"25",1,6,62,2,0.02071094474,71.99047407,84.18027043,12.18979636,0.1693251297,330.1860798,"3.922368961","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_62","Experimental"
"26",1,6,66,2,0.01948644016,65.76775046,82.3224014,16.55465094,0.2517138084,510.0570638,"6.19584773","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_66","Experimental"
"27",3,1,23,3,0.0490321902,51.95907063,73.40537287,21.44630224,0.4127537691,778.2933009,"10.60267485","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_23","Comparison"
"28",3,1,32,3,0.03902266973,46.05658124,81.90673398,35.85015274,0.7783937013,1103.489796,"13.47251614","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_32","Comparison"
"29",3,1,37,3,0.03338612244,54.14598689,72.3857152,18.23972831,0.336862053,981.8468423,"13.56409672","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_37","Comparison"
"30",3,1,38,3,0.05536641251,50.24491308,73.5850553,23.34014222,0.4645274674,735.5593941,"9.996043233","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_38","Comparison"
"31",3,1,43,3,0.03547658253,50.67917797,76.40273894,25.72356097,0.5075765234,1079.705211,"14.13176054","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_43","Comparison"
"32",3,1,44,3,0.03484367329,43.05283028,73.96595076,30.91312048,0.7180276017,852.0848126,"11.51996025","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_44","Comparison"
"33",3,5,11,3,0.04388861553,40.84932869,60.45752356,19.60819487,0.4800126586,1014.870924,"16.78651165","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_11","Comparison"
"34",3,5,12,3,0.04020581051,35.67616939,59.71186654,24.03569715,0.6737185512,1701.850243,"28.5010391","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_12","Comparison"
"35",3,5,21,3,0.0442498183,31.44551097,51.0513775,19.60586652,0.6234869754,1687.459191,"33.05413632","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_21","Comparison"
"36",3,5,22,3,0.04276950918,33.53195518,47.67545012,14.14349494,0.4217915379,544.385298,"11.41856651","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_22","Comparison"
"37",3,5,23,3,0.03810783168,37.80117677,59.92694796,22.12577119,0.5853196404,1550.82816,"25.87864412","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_23","Comparison"
"38",3,5,25,3,0.04448471625,35.50107085,62.57302976,27.0719589,0.7625673889,1239.427046,"19.80768792","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_25","Comparison"
"39",3,5,29,3,0.03110661309,38.29321512,62.93866353,24.64544842,0.6435983069,1085.571042,"17.24807903","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_29","Comparison"
"40",3,5,30,3,0.03286875741,43.61285298,50.52247676,6.909623782,0.1584309054,764.268846,"15.12730363","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_30","Comparison"
"41",3,5,33,3,0.05308508774,32.60889003,52.89746468,20.28857465,0.6221792471,958.5172076,"18.12028636","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_33","Comparison"
"42",3,5,41,3,0.04813762285,31.8475114,59.08817347,27.24066207,0.8553466461,1551.978645,"26.26546995","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_41","Comparison"
"43",3,5,44,3,0.04143609711,38.75516192,58.51224817,19.75708625,0.5097923805,1274.037554,"21.77386093","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_44","Comparison"
"44",3,6,3,3,0.04690069499,53.24116072,63.61212386,10.37096314,0.1947922058,835.2721561,"13.13070694","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_3","Comparison"
"45",3,6,11,3,0.02342667895,43.89724435,65.56916031,21.67191596,0.4936965015,715.0693802,"10.90557477","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_11","Comparison"
"46",3,6,27,3,0.02857421699,44.92755188,63.48306487,18.55551298,0.4130096613,575.0912143,"9.058970537","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_27","Comparison"
"47",3,6,37,3,0.01467215376,48.970675,69.71994201,20.74926701,0.4237080051,583.3573967,"8.367152637","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_37","Comparison"
"48",3,6,42,3,0.04441882648,30.41568904,60.79248508,30.37679603,0.9987212847,1590.4364,"26.16172702","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_42","Comparison"
"49",3,6,62,3,0.04173300171,37.11736774,63.56496134,26.4475936,0.7125395793,1379.183821,"21.69723369","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_62","Comparison"
"50",3,6,66,3,0.04384689835,32.55717274,67.33746176,34.78028902,1.068283456,1256.7361,"18.66325322","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_66","Comparison"
"51",6,1,13,1,0.01040794518,69.03422364,79.98692524,10.9527016,0.1586561131,725.213086,"9.066645378","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_13","Control"
"52",6,1,16,1,0.01290712284,67.44691235,68.53413106,1.08721871,0.01611962167,88.02511289,"1.284398175","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_16","Control"
"53",6,1,23,1,0.01968326469,64.12147481,68.69234856,4.570873755,0.07128460112,1289.30515,"18.76926873","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_23","Control"
"54",6,1,32,1,0.0167404739,66.7340916,78.26924036,11.53514876,0.172852413,394.3654608,"5.038575294","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_32","Control"
"55",6,1,38,1,0.01991535345,66.44760026,72.46782154,6.020221278,0.09060103381,177.5615445,"2.450212256","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_38","Control"
"56",6,1,43,1,0.01784005292,58.78564024,69.34024515,10.55460491,0.1795439306,404.6521356,"5.835747115","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_43","Control"
"57",6,1,44,1,0.01619155861,64.70120715,69.31202552,4.610818372,0.0712632511,175.8159457,"2.536586463","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_44","Control"
"58",6,5,11,1,0.01492161946,59.46979739,68.99385321,9.524055821,0.160149458,438.2500356,"6.352015654","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_11","Control"
"59",6,5,12,1,0.04942783249,44.37500364,71.73404905,27.35904541,0.6165418178,1077.10708,"15.01528345","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_12","Control"
"60",6,5,21,1,0.0111760961,59.38786271,62.19311852,2.805255818,0.04723618076,158.4960768,"2.548450384","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_21","Control"
"61",6,5,23,1,0.01077915271,59.80985924,63.85004536,4.040186123,0.06755050379,198.2554128,"3.105016005","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_23","Control"
"62",6,5,25,1,0.04432953253,54.10966377,69.5400245,15.43036073,0.2851682981,583.983366,"8.397802133","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_25","Control"
"63",6,5,29,1,0.0252655997,56.17161257,67.39970104,11.22808847,0.1998890178,574.9714981,"8.530772233","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_29","Control"
"64",6,5,30,1,0.01779464578,53.77323872,65.49025892,11.7170202,0.2178968662,364.1328056,"5.560106367","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_30","Control"
"65",6,5,33,1,0.0188823161,57.05356894,64.67047253,7.616903588,0.1335044193,315.1565148,"4.873267544","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_33","Control"
"66",6,5,41,1,0.01698188699,54.3956893,61.96997594,7.574286636,0.139244244,401.6688288,"6.481668304","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_41","Control"
"67",6,5,44,1,0.01613970229,64.33432774,72.17357141,7.839243671,0.1218516451,218.7145386,"3.030396506","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_44","Control"
"68",6,6,3,1,0.01591063728,64.12679313,70.06764149,5.940848353,0.09264221806,156.2261969,"2.229648288","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_3","Control"
"69",6,6,11,1,0.01631057871,61.03389679,64.54160602,3.507709231,0.05747149396,209.2207565,"3.241641623","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_11","Control"
"70",6,6,27,1,0.01760966801,60.72943119,64.69556493,3.966133737,0.06530826419,176.0174571,"2.720703611","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_27","Control"
"71",6,6,36,1,0.01439502943,59.60395197,62.46773726,2.863785288,0.04804690283,64.34008149,"1.02997298","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_36","Control"
"72",6,6,37,1,0.01870822738,58.21950388,65.18961125,6.970107374,0.1197211743,306.7638447,"4.705716736","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_37","Control"
"73",6,6,42,1,0.01824672906,55.9922708,66.49436455,10.50209375,0.1875632762,460.947074,"6.9321224","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_42","Control"
"74",6,6,62,1,0.01588574604,59.31617323,60.75457954,1.438406303,0.02424981628,81.99725213,"1.349647265","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_62","Control"
"75",6,6,66,1,0.0100953888,59.86575278,64.31882683,4.453074054,0.07438433239,124.5826448,"1.936954559","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_66","Control"
"76",7,1,13,3,0.0156938736,76.31003828,81.85717019,5.547131902,0.07269203405,213.4330507,"2.607383693","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_13","Comparison"
"77",7,1,16,3,0.01353335369,74.65374029,79.44521383,4.791473544,0.06418263205,402.0823566,"5.061127502","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_16","Comparison"
"78",7,1,23,3,0.05867259376,52.28044112,71.44578655,19.16534543,0.3665872938,666.4141467,"9.327550005","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_23","Comparison"
"79",7,1,32,3,0.01812602298,62.5846994,83.11182295,20.52712355,0.3279894886,586.0344056,"7.051155717","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_32","Comparison"
"80",7,1,37,3,0.01873343883,62.95981551,75.12513557,12.16532006,0.1932235659,458.7859263,"6.106956385","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_37","Comparison"
"81",7,1,38,3,0.03269756199,57.62618857,77.01131484,19.38512627,0.336394385,720.572699,"9.356712068","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_38","Comparison"
"82",7,1,43,3,0.01574381363,66.37731117,75.12726581,8.74995464,0.1318214686,351.3072225,"4.676161427","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_43","Comparison"
"83",7,1,44,3,0.01358727835,71.81376717,78.0992376,6.285470436,0.08752458872,326.990041,"4.186853176","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_44","Comparison"
"84",7,5,11,3,0.03047539332,59.05785125,81.13156939,22.07371814,0.3737643289,742.9260278,"9.157052345","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_11","Comparison"
"85",7,5,12,3,0.0191875815,56.17107704,72.65076915,16.4796921,0.2933839436,629.0818147,"8.658983548","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_12","Comparison"
"86",7,5,21,3,0.05130538597,55.30356273,81.78107196,26.47750922,0.4787667903,1330.858167,"16.27342532","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_21","Comparison"
"87",7,5,22,3,0.03274807805,67.2132308,75.07605514,7.862824346,0.1169832822,365.9019843,"4.873750806","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_22","Comparison"
"88",7,5,25,3,0.01938684579,63.27979343,78.99581123,15.7160178,0.2483576028,575.4629284,"7.284727119","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_25","Comparison"
"89",7,5,29,3,0.01919592709,71.9658341,74.10081528,2.134981181,0.02966659399,121.187497,"1.635440805","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_29","Comparison"
"90",7,5,30,3,0.01518419255,64.7635489,78.60800984,13.84446094,0.2137693374,603.3477516,"7.675397874","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_30","Comparison"
"91",7,5,33,3,0.01700794298,64.89352572,82.34958767,17.45606195,0.2689954314,952.736317,"11.56941211","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_33","Comparison"
"92",7,5,41,3,0.04379814362,43.12129935,79.59265396,36.47135461,0.8457851492,1519.135308,"19.08637584","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_41","Comparison"
"93",7,5,44,3,0.03237948982,71.90803161,84.09106647,12.18303486,0.1694252309,421.9716176,"5.018031467","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_44","Comparison"
"94",7,6,3,3,0.07119793249,51.03193439,79.78144657,28.74951218,0.5633631671,892.4657636,"11.18638232","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_3","Comparison"
"95",7,6,11,3,0.01795091647,59.5146729,71.48393512,11.96926222,0.2011144754,508.0960539,"7.107835531","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_11","Comparison"
"96",7,6,27,3,0.05189709952,52.3794107,73.13285306,20.75344236,0.3962137427,601.1563051,"8.220058153","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_27","Comparison"
"97",7,6,36,3,0.01872421072,59.55799095,76.03208841,16.47409746,0.2766059969,410.8919864,"5.404191769","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_36","Comparison"
"98",7,6,37,3,0.04282489811,59.66039604,70.79022128,11.12982524,0.1865529896,403.2327605,"5.696164713","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_37","Comparison"
"99",7,6,42,3,0.0447542541,55.63278513,73.32704907,17.69426394,0.3180546129,767.9946611,"10.473552","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_42","Comparison"
"100",7,6,62,3,0.03886208297,51.59618769,73.67620746,22.08001977,0.4279389767,772.8556283,"10.48989429","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_62","Comparison"
"101",7,6,66,3,0.02987359062,51.0229009,71.84542097,20.82252006,0.4081014543,722.938791,"10.06241986","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_66","Comparison"
"102",8,1,13,2,0.01184190539,60.66467491,78.97268035,18.30800544,0.3017902176,862.8535036,"10.92597465","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_13","Experimental"
"103",8,1,16,2,0.00909915865,66.8069684,71.57644583,4.769477425,0.07139191523,226.2743684,"3.16129651","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_16","Experimental"
"104",8,1,23,2,0.01571662205,66.07857327,71.79041908,5.711845809,0.08644021089,453.7891039,"6.321025978","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_23","Experimental"
"105",8,1,32,2,0.01176027978,51.44173946,72.42613199,20.98439253,0.4079254074,844.0572886,"11.65404344","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_32","Experimental"
"106",8,1,37,2,0.01943587745,49.38804815,63.44781027,14.05976212,0.2846794446,759.8354488,"11.97575528","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_37","Experimental"
"107",8,1,38,2,0.007834323059,60.44480161,68.54604357,8.101241961,0.1340271081,278.9006316,"4.068807142","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_38","Experimental"
"108",8,1,43,2,0.01575862573,57.53389231,68.22026279,10.68637048,0.1857404402,522.3425105,"7.656706221","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_43","Experimental"
"109",8,1,44,2,0.01523818022,50.21147244,61.69846828,11.48699584,0.2287723359,647.7969333,"10.49940057","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","1_44","Experimental"
"110",8,5,11,2,0.02308176965,65.69992787,70.53206167,4.832133809,0.07354854056,101.4601844,"1.438497359","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_11","Experimental"
"111",8,5,12,2,0.0225004945,61.44275746,60.7922942,-0.6504632589,-0.01058649198,71.80075652,"1.181083186","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_12","Experimental"
"112",8,5,21,2,0.0488618909,63.1573167,65.70380168,2.546484982,0.04031971457,106.2591654,"1.617245314","fricative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_21","Experimental"
"113",8,5,22,2,0.05379304834,37.07972724,54.8777012,17.79797395,0.4799920408,904.1176194,"16.47513652","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_22","Experimental"
"114",8,5,23,2,0.01703702549,52.48373437,61.55263834,9.068903966,0.1727945634,411.0540024,"6.678089087","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_23","Experimental"
"115",8,5,25,2,0.04939661669,47.73609115,67.46978601,19.73369486,0.4133915112,931.6176321,"13.80792333","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_25","Experimental"
"116",8,5,29,2,0.01352788408,59.40874367,63.15398595,3.745242283,0.06304193712,288.7474397,"4.572117426","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_29","Experimental"
"117",8,5,30,2,0.01466814178,54.68030313,65.48513523,10.8048321,0.1976000769,643.1645643,"9.821535254","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_30","Experimental"
"118",8,5,33,2,0.03793733297,45.78024604,63.44971558,17.66946954,0.3859627475,875.0173458,"13.79072133","stop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_33","Experimental"
"119",8,5,44,2,0.01701368113,50.74345739,58.98971629,8.246258896,0.1625088104,286.4928885,"4.856658186","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","5_44","Experimental"
"120",8,6,3,2,0.01874184035,52.6775109,60.43376021,7.756249303,0.1472402392,164.2304089,"2.717527559","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_3","Experimental"
"121",8,6,27,2,0.0136204677,61.05798509,65.28472315,4.226738055,0.06922498423,174.4857522,"2.672688858","tap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6_27","Experimental"
